ID,Loại,SKU,"GTIN, UPC, EAN hoặc ISBN",Tên,"Đã xuất bản","Là sản phẩm nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giá khuyến mãi","Ngày kết thúc giá khuyến mãi","Trạng thái thuế","Lớp thuế","Còn hàng?","Tồn kho","Số lượng sắp hết hàng","Cho phép đặt hàng trước?","Bán riêng lẻ?","Cân nặng (kg)","Chiều dài (cm)","Chiều rộng (cm)","Chiều cao (cm)","Cho phép khách hàng đánh giá?","Ghi chú mua hàng","Giá khuyến mãi","Giá thông thường","Danh mục",Thẻ,"Lớp vận chuyển","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải xuống",Cha,"Sản phẩm theo nhóm","Bán thêm","Bán chéo","URL bên ngoài","Văn bản nút","Vị trí","Thương hiệu","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính chung 1","Tên thuộc tính 2","Giá trị thuộc tính 2","Thuộc tính hiển thị 2","Thuộc tính chung 2","ID Tải xuống 1","Tên tệp tải xuống 1","URL Tải xuống 1","ID Tải xuống 2","Tên tệp tải xuống 2","URL Tải xuống 2"
72,variable,woo-vneck-tee,,"V-Neck T-Shirt",1,1,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,24,1,2,1,,,,"Clothing > Tshirts",,,"http://localhost/wordpress/wp-content/uploads/2025/11/vneck-tee-2.jpg, http://localhost/wordpress/wp-content/uploads/2025/11/vnech-tee-green-1.jpg, http://localhost/wordpress/wp-content/uploads/2025/11/vnech-tee-blue-1.jpg",,,,,,,,,0,,Color,"Blue, Green, Red",1,1,Size,"Large, Medium, Small",1,1,,,,,,
73,variable,woo-hoodie,,Hoodie,1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,10,8,3,1,,,,"Clothing > Hoodies",,,"http://localhost/wordpress/wp-content/uploads/2025/11/hoodie-2.jpg, http://localhost/wordpress/wp-content/uploads/2025/11/hoodie-blue-1.jpg, http://localhost/wordpress/wp-content/uploads/2025/11/hoodie-green-1.jpg, http://localhost/wordpress/wp-content/uploads/2025/11/hoodie-with-logo-2.jpg",,,,,,,,,0,,Color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,,,,,,
74,simple,woo-hoodie-with-logo,,"Hoodie with Logo",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,10,6,3,1,,,45,"Clothing > Hoodies",,,http://localhost/wordpress/wp-content/uploads/2025/11/hoodie-with-logo-2.jpg,,,,,,,,,0,,Color,Blue,1,1,,,,,,,,,,
75,simple,woo-tshirt,,T-Shirt,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,8,6,1,1,,,18,"Clothing > Tshirts",,,http://localhost/wordpress/wp-content/uploads/2025/11/tshirt-2.jpg,,,,,,,,,0,,Color,Gray,1,1,,,,,,,,,,
76,simple,woo-beanie,,Beanie,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,4,5,0.5,1,,18,20,"Clothing > Accessories",,,http://localhost/wordpress/wp-content/uploads/2025/11/beanie-2.jpg,,,,,,,,,0,,Color,Red,1,1,,,,,,,,,,
77,simple,woo-belt,,Belt,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,12,2,1.5,1,,55,65,"Clothing > Accessories",,,http://localhost/wordpress/wp-content/uploads/2025/11/belt-2.jpg,,,,,,,,,0,,,,,,,,,,,,,,,
78,simple,woo-cap,,Cap,1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,8,6.5,4,1,,16,18,"Clothing > Accessories",,,http://localhost/wordpress/wp-content/uploads/2025/11/cap-2.jpg,,,,,,,,,0,,Color,Yellow,1,1,,,,,,,,,,
79,simple,woo-sunglasses,,Sunglasses,1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,4,1.4,1,1,,,90,"Clothing > Accessories",,,http://localhost/wordpress/wp-content/uploads/2025/11/sunglasses-2.jpg,,,,,,,,,0,,,,,,,,,,,,,,,
80,simple,woo-hoodie-with-pocket,,"Hoodie with Pocket",1,1,hidden,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,10,8,2,1,,35,45,"Clothing > Hoodies",,,http://localhost/wordpress/wp-content/uploads/2025/11/hoodie-with-pocket-2.jpg,,,,,,,,,0,,Color,Gray,1,1,,,,,,,,,,
81,simple,woo-hoodie-with-zipper,,"Hoodie with Zipper",1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,8,6,2,1,,,45,"Clothing > Hoodies",,,http://localhost/wordpress/wp-content/uploads/2025/11/hoodie-with-zipper-2.jpg,,,,,,,,,0,,,,,,,,,,,,,,,
