ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wpcom_is_markdown,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Download 1 ID,Download 1 name,Download 1 URL,Download 2 ID,Download 2 name,Download 2 URL
1,simple,SKU-0001,Stylish Yoga Pants,1,0,visible,"Stylish Yoga Pants — premium quality, stylish and comfortable for daily wear.","The Stylish Yoga Pants is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for gym lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,122,,0,0,,,,,1,,,169.98,Gym,,,https://example.com/images/SKU-0001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,simple,SKU-0002,Elegant T-Shirt,1,0,visible,"Elegant T-Shirt — premium quality, stylish and comfortable for daily wear.","The Elegant T-Shirt is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for shirt lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,36,,0,0,,,,,1,,,75.59,Shirt,,,https://example.com/images/SKU-0002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,simple,SKU-0003,Comfort Tote Bag,1,0,visible,"Comfort Tote Bag — premium quality, stylish and comfortable for daily wear.","The Comfort Tote Bag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,72,,0,0,,,,,1,,,289.94,Bags,,,https://example.com/images/SKU-0003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,simple,SKU-0004,Vintage Clutch,1,0,visible,"Vintage Clutch — premium quality, stylish and comfortable for daily wear.","The Vintage Clutch is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,65,,0,0,,,,,1,,,130.04,Bags,,,https://example.com/images/SKU-0004.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,simple,SKU-0005,Vintage Maxi Dress,1,0,visible,"Vintage Maxi Dress — premium quality, stylish and comfortable for daily wear.","The Vintage Maxi Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,34,,0,0,,,,,1,,,122.41,Dress,,,https://example.com/images/SKU-0005.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,simple,SKU-0006,Vintage Casual Dress,1,0,visible,"Vintage Casual Dress — premium quality, stylish and comfortable for daily wear.","The Vintage Casual Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,153,,0,0,,,,,1,,,223.02,Dress,,,https://example.com/images/SKU-0006.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,simple,SKU-0007,Sporty Flannel Shirt,1,0,visible,"Sporty Flannel Shirt — premium quality, stylish and comfortable for daily wear.","The Sporty Flannel Shirt is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for shirt lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,152,,0,0,,,,,1,,,276.51,Shirt,,,https://example.com/images/SKU-0007.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,simple,SKU-0008,Luxury Track Jacket,1,0,visible,"Luxury Track Jacket — premium quality, stylish and comfortable for daily wear.","The Luxury Track Jacket is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for gym lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,150,,0,0,,,,,1,,,270.75,Gym,,,https://example.com/images/SKU-0008.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,simple,SKU-0009,Elegant Flannel Shirt,1,0,visible,"Elegant Flannel Shirt — premium quality, stylish and comfortable for daily wear.","The Elegant Flannel Shirt is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for shirt lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,131,,0,0,,,,,1,,,142.77,Shirt,,,https://example.com/images/SKU-0009.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,simple,SKU-0010,Elegant Handbag,1,0,visible,"Elegant Handbag — premium quality, stylish and comfortable for daily wear.","The Elegant Handbag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,138,,0,0,,,,,1,,,12.16,Bags,,,https://example.com/images/SKU-0010.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
