ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wpcom_is_markdown,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Download 1 ID,Download 1 name,Download 1 URL,Download 2 ID,Download 2 name,Download 2 URL
1,simple,SKU-0001,Stylish Bracelet,1,0,visible,"Stylish Bracelet — premium quality, stylish and comfortable for daily wear.","The Stylish Bracelet is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,107,,0,0,,,,,1,,209.41,271.87,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,simple,SKU-0002,Premium Necklace,1,0,visible,"Premium Necklace — premium quality, stylish and comfortable for daily wear.","The Premium Necklace is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,176,,0,0,,,,,1,,,219.06,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,simple,SKU-0003,Stylish Necklace,1,0,visible,"Stylish Necklace — premium quality, stylish and comfortable for daily wear.","The Stylish Necklace is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,196,,0,0,,,,,1,,198.94,224.63,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,simple,SKU-0004,Modern Necklace,1,1,visible,"Modern Necklace — premium quality, stylish and comfortable for daily wear.","The Modern Necklace is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,135,,0,0,,,,,1,,25.4,30.21,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,simple,SKU-0005,Comfort Bracelet,1,0,visible,"Comfort Bracelet — premium quality, stylish and comfortable for daily wear.","The Comfort Bracelet is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,12,,0,0,,,,,1,,105.63,121.42,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,simple,SKU-0006,Casual Bracelet,1,0,visible,"Casual Bracelet — premium quality, stylish and comfortable for daily wear.","The Casual Bracelet is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,192,,0,0,,,,,1,,,35.25,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,simple,SKU-0007,Premium Necklace,1,0,visible,"Premium Necklace — premium quality, stylish and comfortable for daily wear.","The Premium Necklace is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,94,,0,0,,,,,1,,171.63,238.78,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,simple,SKU-0008,Comfort Bracelet,1,1,visible,"Comfort Bracelet — premium quality, stylish and comfortable for daily wear.","The Comfort Bracelet is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,57,,0,0,,,,,1,,197.14,238.68,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,simple,SKU-0009,Luxury Sunglasses,1,0,visible,"Luxury Sunglasses — premium quality, stylish and comfortable for daily wear.","The Luxury Sunglasses is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,22,,0,0,,,,,1,,,156.3,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,simple,SKU-0010,Elegant Bracelet,1,0,visible,"Elegant Bracelet — premium quality, stylish and comfortable for daily wear.","The Elegant Bracelet is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,23,,0,0,,,,,1,,148.34,168.39,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-10.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
